ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2024-25,American Indian/Alaska Native Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2022-23,American Indian/Alaska Native Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2020-21,American Indian/Alaska Native Students [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 1998-99,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1990-91
COMMUNITY ACADEMY AMOS 5,District of Columbia,110000700370,†,†,†,†,†,†,†,†,3,0,0,†,†,†,†
COMMUNITY ACADEMY AMOS I,District of Columbia,110000700221,†,†,†,†,†,†,†,†,1,1,0,0,†,†,†
COMMUNITY ACADEMY AMOS II,District of Columbia,110000700353,†,†,†,†,†,†,†,†,1,0,0,†,†,†,†
COMMUNITY ACADEMY AMOS III,District of Columbia,110000700398,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
COMMUNITY ACADEMY CAPCS ONLINE,District of Columbia,110000700380,†,†,†,†,†,†,†,†,0,1,†,†,†,†,†
COMMUNITY ACADEMY RAND TECH,District of Columbia,110000700361,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†
COMMUNITY COLLEGE PREPARATORY ACADEMY PCS,District of Columbia,110009200471,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CONSOLIDATED HEADSTART,District of Columbia,110003000095,†,†,†,†,†,†,†,†,†,†,0,0,0,†,†
COOK J.F. ES,District of Columbia,110003000101,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
COOLIDGE HS,District of Columbia,110003000081,1,1,1,–,–,0,–,–,0,1,1,1,0,0,0
CORRECTIONAL DETENTION,District of Columbia,110003000269,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CORRECTIONAL TREATMENT,District of Columbia,110003000270,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CREATIVE MINDS INTERNATIONAL PCS,District of Columbia,110008400440,7,3,3,3,2,2,–,–,1,†,†,†,†,†,†
D.C. ACADEMY HIGH SCHOOL,District of Columbia,110003000943,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
DAVIS ES,District of Columbia,110003000099,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
DC ALT LEARNING ACAD TAFT,District of Columbia,110003000252,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
DC BILINGUAL PCS,District of Columbia,110004200273,0,0,0,–,–,1,1,1,1,0,0,†,†,†,†
DC DEPARTMENT OF CORRECTIONS,DISTRICT OF COLUMBIA,110011900781,0,0,†,†,†,†,†,†,†,†,†,†,†,†,†
DC PREP PCS - ANACOSTIA ES,DISTRICT OF COLUMBIA,110004800501,1,2,1,1,2,1,1,–,†,†,†,†,†,†,†
DC PREP PCS - ANACOSTIA MS,DISTRICT OF COLUMBIA,110004800532,0,0,0,–,–,†,†,†,†,†,†,†,†,†,†
DC PREP PCS - BENNING ES,District of Columbia,110004800387,0,0,1,–,–,0,–,–,0,0,†,†,†,†,†
DC PREP PCS - BENNING MS,District of Columbia,110004800474,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
DC PREP PCS - EDGEWOOD ES,District of Columbia,110004800388,1,0,0,1,1,1,1,–,0,0,†,†,†,†,†
DC PREP PCS - EDGEWOOD MS,District of Columbia,110004800277,1,1,1,–,–,0,–,–,0,0,0,†,†,†,†
DC SCHOLARS PCS,District of Columbia,110008500438,4,5,4,2,–,0,–,–,0,†,†,†,†,†,†
DC WILDFLOWER PCS - THE RIVERSEED SCHOOL,DISTRICT OF COLUMBIA,110011800778,0,0,0,†,†,†,†,†,†,†,†,†,†,†,†
DC YOUTH RE ENGAGEMENT CENTER,DISTRICT OF COLUMBIA,110009800493,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DEAL MS,District of Columbia,110003000138,0,0,0,3,4,5,2,3,1,2,0,1,0,0,1
DEMOCRACY PREP CONGRESS HEIGHTS PCS,DISTRICT OF COLUMBIA,110009500485,†,†,†,†,†,†,–,–,0,†,†,†,†,†,†
DIGITAL PIONEERS ACADEMY PCS - CAPITOL HILL,DISTRICT OF COLUMBIA,110010900544,0,0,0,–,†,†,†,†,†,†,†,†,†,†,†
DIGITAL PIONEERS ACADEMY PCS - JOHENNING,DISTRICT OF COLUMBIA,110010900521,0,0,0,–,–,0,–,†,†,†,†,†,†,†,†
DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,DISTRICT OF COLUMBIA,110009700492,2,1,3,5,7,7,5,6,3,†,†,†,†,†,†
DOROTHY I. HEIGHT ES,DISTRICT OF COLUMBIA,110003000504,3,1,2,1,1,0,–,1,†,†,†,†,†,†,†
DOUGLASS JUNIOR HIGH SCHOOL,District of Columbia,110003000137,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
DRAPER ES,District of Columbia,110003000098,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
DREW ES,District of Columbia,110003000097,0,0,0,–,1,0,–,–,0,0,0,0,0,0,0
DUKE ELLINGTON SCHOOL OF THE ARTS,District of Columbia,110003000016,0,0,–,1,1,2,2,2,2,0,0,0,0,0,0
DUNBAR HS,District of Columbia,110003000079,1,0,0,–,–,0,–,–,1,0,1,0,0,0,0
E.L. HAYNES PCS - ES,District of Columbia,110004300472,4,4,4,4,4,5,5,5,0,†,†,†,†,†,†
E.L. HAYNES PCS - HS,District of Columbia,110004300433,0,2,3,3,11,8,7,8,2,0,†,†,†,†,†
E.L. HAYNES PCS - MS,District of Columbia,110004300274,0,0,0,–,–,3,5,6,1,0,0,†,†,†,†
EAGLE ACADEMY PCS - CAPITOL RIVERFRONT,District of Columbia,110004900434,†,0,0,–,1,1,–,–,1,0,†,†,†,†,†
EAGLE ACADEMY PCS - CONGRESS HEIGHTS,District of Columbia,110004900278,†,0,0,–,–,0,–,–,2,0,0,†,†,†,†
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,110005700307,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,110005700431,0,0,0,–,–,0,–,–,0,0,†,†,†,†,†
EASTERN HS,District of Columbia,110003000078,0,0,0,–,–,0,1,1,0,0,0,0,0,1,1
EATON ES,District of Columbia,110003000096,0,0,0,–,2,2,2,2,0,2,0,2,2,6,1
EDUCATIONAL LEARNING CENTER,District of Columbia,110003000038,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
ELIOT-HINE MS,District of Columbia,110003000151,0,0,0,1,1,1,–,–,0,1,0,0,0,0,0
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - BROOKLAND,District of Columbia,110000900223,1,1,1,1,–,0,–,–,1,0,2,0,†,†,†
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - EAST END,DISTRICT OF COLUMBIA,110000900520,3,1,1,–,1,0,–,†,†,†,†,†,†,†,†
EMERY ES,District of Columbia,110003000094,†,†,†,†,†,†,†,†,†,1,1,1,0,0,0
EMILIA REGGIO                                    ,District of Columbia,110003000777,†,†,†,†,†,†,†,†,†,†,0,0,0,†,†
EVANS MIDDLE SCHOOL                               ,District of Columbia,110003000150,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0
EXCEL ACADEMY,DISTRICT OF COLUMBIA,110003000519,0,0,0,–,–,0,–,†,†,†,†,†,†,†,†
EXCEL ACADEMY PCS,District of Columbia,110007600408,†,†,†,†,†,†,†,–,0,0,†,†,†,†,†
