ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1986-87,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2014-15,Longitude [Public School] 2010-11,Longitude [Public School] 2006-07,Longitude [Public School] 2002-03,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2014-15,Latitude [Public School] 2010-11,Latitude [Public School] 2006-07,Latitude [Public School] 2002-03,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2010-11,Free Lunch Eligible [Public School] 2006-07,Free Lunch Eligible [Public School] 2002-03,Free Lunch Eligible [Public School] 1998-99,Free Lunch Eligible [Public School] 1994-95,Free Lunch Eligible [Public School] 1990-91
DC PREP PCS - ANACOSTIA ES,DISTRICT OF COLUMBIA,110004800501,409,423,410,441,461,459,379,304,†,†,†,†,†,†,†,†,-76.984729,-76.984729,-76.984729,-76.984729,-76.984729,-76.984729,-76.984729,-76.984729,†,†,†,†,38.864704,38.864704,38.864704,38.864704,38.864704,38.864704,38.864704,38.864704,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
DC PREP PCS - ANACOSTIA MS,DISTRICT OF COLUMBIA,110004800532,315,265,200,140,78,†,†,†,†,†,†,†,†,†,†,†,-76.985316,-76.985316,-76.985316,-76.995361,-76.995361,†,†,†,†,†,†,†,38.856663,38.856663,38.856663,38.859770,38.859770,†,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,†,†,†,†
DC PREP PCS - BENNING ES,District of Columbia,110004800387,430,425,442,448,469,455,449,453,442,258,†,†,†,†,†,†,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944961,-76.944641,†,†,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.891019,38.890890,†,†,–,–,–,–,–,–,–,–,442,178,†,†,†,†,†
DC PREP PCS - BENNING MS,District of Columbia,110004800474,318,311,328,336,352,342,341,335,152,†,†,†,†,†,†,†,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944773,-76.944584,†,†,†,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.890718,38.890972,†,†,†,–,–,–,–,–,–,–,–,86,†,†,†,†,†,†
DC PREP PCS - EDGEWOOD ES,District of Columbia,110004800388,401,420,430,440,453,442,451,451,432,400,†,†,†,†,†,†,-76.995631,-76.995631,-76.995631,-76.995631,-76.995631,-76.995631,-76.995631,-76.995631,-76.995631,-76.995751,†,†,38.924243,38.924243,38.924243,38.924243,38.924243,38.924243,38.924243,38.924243,38.924243,38.924710,†,†,–,–,–,–,–,–,–,–,212,295,†,†,†,†,†
DC PREP PCS - EDGEWOOD MS,District of Columbia,110004800277,308,300,318,343,347,339,334,332,294,251,252,†,†,†,†,†,-76.996011,-76.996011,-76.996011,-76.996011,-76.996011,-76.996011,-76.996011,-76.996011,-76.996009,-76.995751,-76.995300,†,38.924719,38.924719,38.924719,38.924719,38.924719,38.924719,38.924719,38.924719,38.924844,38.924710,38.925330,†,–,–,–,–,–,–,–,–,113,153,90,†,†,†,†
DC SCHOLARS PCS,District of Columbia,110008500438,478,491,532,542,607,554,543,515,389,†,†,†,†,†,†,†,-76.921014,-76.921014,-76.921014,-76.921014,-76.921014,-76.921014,-76.921014,-76.921014,-76.921269,0.000000,†,†,38.889408,38.889408,38.889408,38.889408,38.889408,38.889408,38.889408,38.889408,38.889542,0.000000,†,†,–,–,–,–,–,–,–,–,389,†,†,†,†,†,†
DC WILDFLOWER PCS - THE RIVERSEED SCHOOL,DISTRICT OF COLUMBIA,110011800778,45,28,16,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.920744,-76.920744,-76.920744,†,†,†,†,†,†,†,†,†,38.900239,38.900239,38.900239,†,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,†,†,†,†
DC YOUTH RE ENGAGEMENT CENTER,DISTRICT OF COLUMBIA,110009800493,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.948411,†,†,†,†,†,†,†,†,†,†,†,38.897010,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DEAL MS,District of Columbia,110003000138,1462,1420,1391,1396,1463,1458,1507,1475,1312,922,772,960,1017,1011,952,927,-77.075204,-77.075204,-77.075204,-77.075204,-77.075204,-77.075204,-77.075204,-77.075204,-77.075204,-77.074070,-77.073830,-77.073833,38.952896,38.952896,38.952896,38.952896,38.952896,38.952896,38.952896,38.952896,38.952896,38.952398,38.952430,38.952425,–,–,–,–,–,–,–,–,1309,163,150,206,–,297,294
DEMOCRACY PREP CONGRESS HEIGHTS PCS,DISTRICT OF COLUMBIA,110009500485,†,†,†,†,†,†,759,645,620,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.998176,-76.998176,-76.998176,†,†,†,†,†,†,†,†,†,38.843478,38.843478,38.843478,†,†,†,†,†,†,†,†,†,–,–,620,†,†,†,†,†,†
DIGITAL PIONEERS ACADEMY PCS - CAPITOL HILL,DISTRICT OF COLUMBIA,110010900544,387,287,201,117,†,†,†,†,†,†,†,†,†,†,†,†,-76.990612,-76.990612,-76.990612,-76.990612,†,†,†,†,†,†,†,†,38.880683,38.880683,38.880683,38.880683,†,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,†,†,†,†
DIGITAL PIONEERS ACADEMY PCS - JOHENNING,DISTRICT OF COLUMBIA,110010900521,297,312,310,336,338,243,120,†,†,†,†,†,†,†,†,†,-76.992384,-76.992384,-76.992384,-76.990509,-76.990612,-76.990612,-76.958621,†,†,†,†,†,38.834302,38.834302,38.834302,38.831745,38.880683,38.880683,38.862610,†,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,†,†,†,†
DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,DISTRICT OF COLUMBIA,110009700492,1654,1619,1590,1523,1442,1264,1061,804,210,†,†,†,†,†,†,†,-77.034222,-77.034222,-77.034222,-77.034222,-77.034222,-77.034222,-77.034222,-77.036874,-77.036481,†,†,†,38.972736,38.972736,38.972736,38.972736,38.972736,38.972736,38.972736,38.931392,38.931326,†,†,†,–,–,–,–,–,–,–,–,87,†,†,†,†,†,†
DOROTHY I. HEIGHT ES,DISTRICT OF COLUMBIA,110003000504,400,396,426,424,437,476,480,479,†,†,†,†,†,†,†,†,-77.030541,-77.030242,-77.030242,-77.030242,-77.030474,-77.030474,-77.030474,-77.030474,†,†,†,†,38.944710,38.943632,38.943632,38.943632,38.944729,38.944729,38.944729,38.944729,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
DOUGLASS JUNIOR HIGH SCHOOL,District of Columbia,110003000137,†,†,†,†,†,†,†,†,†,†,†,†,†,373,338,454,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,319,161
DRAPER ES,District of Columbia,110003000098,†,†,†,†,†,†,†,†,†,†,130,312,448,547,573,587,†,†,†,†,†,†,†,†,†,†,-76.992590,-76.992594,†,†,†,†,†,†,†,†,†,†,38.833890,38.833894,†,†,†,†,†,†,†,†,†,†,121,249,–,519,114
DREW ES,District of Columbia,110003000097,223,189,189,191,223,234,236,272,201,191,335,313,435,376,368,386,-76.920013,-76.920013,-76.920013,-76.920013,-76.920013,-76.920013,-76.920013,-76.920013,-76.920013,-76.920081,-76.920490,-76.920488,38.896037,38.896037,38.896037,38.896037,38.896037,38.896037,38.896037,38.896037,38.896037,38.895808,38.895900,38.895898,–,–,–,–,–,–,–,–,201,180,212,243,–,337,167
DUKE ELLINGTON SCHOOL OF THE ARTS,District of Columbia,110003000016,589,579,564,579,591,558,545,566,523,506,457,485,475,507,385,407,-77.070350,-77.070350,-77.070350,-77.070350,-77.070350,-77.070350,-77.070350,-77.070350,-77.070350,-77.069320,-77.069400,-77.069395,38.913180,38.913180,38.913180,38.913180,38.913180,38.913180,38.913180,38.913180,38.913180,38.913614,38.913630,38.913628,–,–,–,–,–,–,–,–,520,147,103,73,–,122,21
DUNBAR HS,District of Columbia,110003000079,892,984,868,728,666,648,667,617,653,766,807,931,674,715,999,1637,-77.012836,-77.012836,-77.012836,-77.012836,-77.012836,-77.012836,-77.012836,-77.012836,-77.012471,-77.015491,-77.015340,-77.015335,38.907695,38.907695,38.907695,38.907695,38.907695,38.907695,38.907695,38.907695,38.914230,38.907424,38.907280,38.907283,–,–,–,–,–,–,–,–,653,728,456,390,–,332,182
E.L. HAYNES PCS - ES,District of Columbia,110004300472,409,357,342,350,350,348,350,348,358,†,†,†,†,†,†,†,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022611,†,†,†,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945110,†,†,†,–,–,–,–,–,–,–,–,199,†,†,†,†,†,†
E.L. HAYNES PCS - HS,District of Columbia,110004300433,446,439,457,443,454,436,436,430,422,280,†,†,†,†,†,†,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022433,-77.022611,-77.023481,†,†,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945521,38.945110,38.945153,†,†,–,–,–,–,–,–,–,–,250,116,†,†,†,†,†
E.L. HAYNES PCS - MS,District of Columbia,110004300274,329,377,365,357,386,352,351,353,377,326,0,†,†,†,†,†,-77.024322,-77.024322,-77.024322,-77.024322,-77.024322,-77.024322,-77.024322,-77.024322,-77.024441,-77.032481,-77.039190,†,38.934337,38.934337,38.934337,38.934337,38.934337,38.934337,38.934337,38.934337,38.934400,38.927870,38.927090,†,–,–,–,–,–,–,–,–,250,184,†,†,†,†,†
EAGLE ACADEMY PCS - CAPITOL RIVERFRONT,District of Columbia,110004900434,†,123,128,115,157,170,156,166,146,106,†,†,†,†,†,†,†,-77.010209,-77.010209,-77.010209,-77.009952,-76.972531,-77.005121,-77.005121,-77.005121,-77.004744,†,†,†,38.866703,38.866703,38.866703,38.866696,38.869270,38.877850,38.877850,38.877850,38.878080,†,†,†,–,–,–,–,–,–,–,146,52,†,†,†,†,†
EAGLE ACADEMY PCS - CONGRESS HEIGHTS,District of Columbia,110004900278,†,269,284,411,548,665,682,770,774,416,257,†,†,†,†,†,†,-76.992913,-76.992913,-76.992913,-76.992913,-76.992913,-76.992913,-76.992913,-76.992831,-76.995354,-76.995320,†,†,38.840242,38.840242,38.840242,38.840242,38.840242,38.840242,38.840242,38.839840,38.876539,38.876570,†,†,–,–,–,–,–,–,–,774,195,–,†,†,†,†
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,110005700307,†,†,†,†,†,†,†,†,†,†,114,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.989963,-76.990800,†,†,†,†,†,†,†,†,†,†,38.831540,38.832200,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,110005700431,281,247,250,231,287,285,254,246,259,227,†,†,†,†,†,†,-76.991473,-76.991473,-76.991473,-76.991473,-76.991473,-76.991473,-76.990661,-76.990661,-76.990661,-76.990825,†,†,38.831501,38.831501,38.831501,38.831501,38.831501,38.831501,38.831790,38.831790,38.831790,38.832242,†,†,–,–,–,–,–,–,–,–,259,115,†,†,†,†,†
EASTERN HS,District of Columbia,110003000078,909,866,865,766,735,792,744,769,1025,161,813,968,1426,1508,1989,1978,-76.979549,-76.979549,-76.979549,-76.979549,-76.979549,-76.979549,-76.979549,-76.979549,-76.979549,-76.980698,-76.980740,-76.980736,38.890396,38.890396,38.890396,38.890396,38.890396,38.890396,38.890396,38.890396,38.890396,38.889846,38.889890,38.889890,–,–,–,–,–,–,–,–,1025,144,499,453,–,737,331
EATON ES,District of Columbia,110003000096,436,437,422,423,429,467,474,476,475,425,403,413,401,424,388,402,-77.066060,-77.066060,-77.066060,-77.066060,-77.066969,-77.066969,-77.065832,-77.065832,-77.065832,-77.065289,-77.065290,†,38.932817,38.932817,38.932817,38.932817,38.943748,38.943748,38.932868,38.932868,38.932868,38.932600,38.932630,†,–,–,–,–,–,–,–,–,472,43,50,47,–,67,38
EDUCATIONAL LEARNING CENTER,District of Columbia,110003000038,†,†,†,†,†,†,†,†,†,†,†,†,†,34,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
ELIOT-HINE MS,District of Columbia,110003000151,432,374,313,317,266,262,232,203,257,278,266,320,450,409,440,543,-76.979015,-76.979015,-76.979015,-76.979015,-76.979015,-76.979015,-76.979015,-76.979015,-76.979015,-76.979057,-76.978250,-76.978247,38.892684,38.892684,38.892684,38.892684,38.892684,38.892684,38.892684,38.892684,38.892684,38.892000,38.892100,38.892098,–,–,–,–,–,–,–,–,257,229,189,164,–,130,213
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - BROOKLAND,District of Columbia,110000900223,354,351,355,347,357,355,350,350,350,350,246,208,†,†,†,†,-76.990084,-76.990084,-76.990084,-76.990084,-76.990084,-76.990084,-76.990084,-76.990084,-76.990071,-77.036526,-77.036570,-77.037473,38.934926,38.934926,38.934926,38.934926,38.934926,38.934926,38.934926,38.934926,38.935090,38.930675,38.930630,38.931261,–,–,–,–,–,–,–,–,187,263,205,138,†,†,†
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - EAST END,DISTRICT OF COLUMBIA,110000900520,353,342,318,272,226,183,134,†,†,†,†,†,†,†,†,†,-76.920334,-76.920334,-76.920334,-76.920334,-76.920334,-76.920334,-76.920334,†,†,†,†,†,38.890320,38.890320,38.890320,38.890320,38.890320,38.890320,38.890320,†,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,†,†,†,†
EMERY ES,District of Columbia,110003000094,†,†,†,†,†,†,†,†,†,254,209,367,414,479,444,457,†,†,†,†,†,†,†,†,†,-77.006613,-77.006670,-77.006667,†,†,†,†,†,†,†,†,†,38.912678,38.912710,38.912707,†,†,†,†,†,†,†,†,†,194,169,253,–,429,146
EMILIA REGGIO                                    ,District of Columbia,110003000777,†,†,†,†,†,†,†,†,†,†,87,83,80,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.000310,-77.000312,†,†,†,†,†,†,†,†,†,†,38.893000,38.892997,†,†,†,†,†,†,†,†,†,†,–,7,–,†,†
EVANS MIDDLE SCHOOL                               ,District of Columbia,110003000150,†,†,†,†,†,†,†,†,†,†,†,259,292,277,350,422,†,†,†,†,†,†,†,†,†,†,†,-76.920680,†,†,†,†,†,†,†,†,†,†,†,38.889842,†,†,†,†,†,†,†,†,†,†,†,201,–,167,124
EXCEL ACADEMY,DISTRICT OF COLUMBIA,110003000519,363,339,387,428,456,449,469,†,†,†,†,†,†,†,†,†,-76.995361,-76.995361,-76.995361,-76.995361,-76.995361,-76.995361,-76.995361,†,†,†,†,†,38.859770,38.859770,38.859770,38.859770,38.859770,38.859770,38.859770,†,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,†,†,†,†
EXCEL ACADEMY PCS,District of Columbia,110007600408,†,†,†,†,†,†,†,643,569,328,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.995344,-76.993588,-77.008391,†,†,†,†,†,†,†,†,†,38.859834,38.862217,38.833815,†,†,†,†,†,†,†,†,†,–,569,243,†,†,†,†,†
EXCEL ACADEMY PCS LEAD,DISTRICT OF COLUMBIA,110007600490,†,†,†,†,†,†,†,†,155,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.995330,†,†,†,†,†,†,†,†,†,†,†,38.859815,†,†,†,†,†,†,†,†,†,†,†,152,†,†,†,†,†,†
FAR SOUTHEAST CAREER CENTER,District of Columbia,110003000190,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FEREBEE HOPE ES,District of Columbia,110003000069,†,†,†,†,†,†,†,†,†,318,281,314,355,596,570,655,†,†,†,†,†,†,†,†,†,-76.994672,-76.994760,-76.994755,†,†,†,†,†,†,†,†,†,38.832018,38.832010,38.832007,†,†,†,†,†,†,†,†,†,300,234,279,–,487,96
FLETCHER JOHNSON ED COMPLEX                       ,District of Columbia,110003000175,†,†,†,†,†,†,†,†,†,†,†,528,485,785,902,1324,†,†,†,†,†,†,†,†,†,†,†,-76.935938,†,†,†,†,†,†,†,†,†,†,†,38.886324,†,†,†,†,†,†,†,†,†,†,†,389,–,515,508
FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,DISTRICT OF COLUMBIA,110000800497,239,245,252,273,308,329,401,395,†,†,†,†,†,†,†,†,-77.013280,-77.013280,-77.013280,-77.013280,-77.013280,-77.013280,-77.013001,-77.013001,†,†,†,†,38.909033,38.909033,38.909033,38.909033,38.909033,38.909033,38.909100,38.909100,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - ARMSTRONG MIDDLE,DISTRICT OF COLUMBIA,110000800526,199,198,208,233,224,171,†,†,†,†,†,†,†,†,†,†,-77.013280,-77.013280,-77.013280,-77.013280,-77.013280,-77.013280,†,†,†,†,†,†,38.909033,38.909033,38.909033,38.909033,38.909033,38.909033,†,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - BLOW PIERCE ELEMENTARY,District of Columbia,110000800479,271,273,285,302,337,360,395,387,379,†,†,†,†,†,†,†,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976261,†,†,†,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.898550,†,†,†,–,–,–,–,–,–,–,–,379,†,†,†,†,†,†
FRIENDSHIP PCS - BLOW PIERCE MIDDLE,District of Columbia,110000800478,238,237,245,274,272,245,249,242,213,†,†,†,†,†,†,†,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976372,-76.976261,†,†,†,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.897839,38.898550,†,†,†,–,–,–,–,–,–,–,–,213,†,†,†,†,†,†
FRIENDSHIP PCS - CHAMBERLAIN ELEMENTARY,District of Columbia,110000800480,256,274,296,321,355,374,368,377,375,†,†,†,†,†,†,†,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,†,†,†,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,†,†,†,–,–,–,–,–,–,–,–,375,†,†,†,†,†,†
FRIENDSHIP PCS - CHAMBERLAIN MIDDLE,District of Columbia,110000800483,282,303,311,328,316,305,314,323,343,†,†,†,†,†,†,†,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,-76.986711,†,†,†,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,38.879330,†,†,†,–,–,–,–,–,–,–,–,343,†,†,†,†,†,†
FRIENDSHIP PCS - COLLEGIATE ACADEMY,District of Columbia,110000800338,745,715,661,654,522,508,553,685,883,1231,0,†,†,†,†,†,-76.946307,-76.946307,-76.946307,-76.946307,-76.946307,-76.946307,-76.946307,-76.946307,-76.946307,-76.946942,-76.946850,†,38.897511,38.897511,38.897511,38.897511,38.897511,38.897511,38.897511,38.897511,38.897511,38.897549,38.897610,†,–,–,–,–,–,–,–,–,883,705,†,†,†,†,†
FRIENDSHIP PCS - IDEAL ELEMENTARY,DISTRICT OF COLUMBIA,110000800530,212,218,216,237,135,99,†,†,†,†,†,†,†,†,†,†,-77.009948,-77.009948,-77.009948,-77.009948,-77.009948,-77.009948,†,†,†,†,†,†,38.964939,38.964939,38.964939,38.964939,38.964939,38.964939,†,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - IDEAL MIDDLE,DISTRICT OF COLUMBIA,110000800528,172,172,182,150,123,98,†,†,†,†,†,†,†,†,†,†,-77.009948,-77.009948,-77.009948,-77.009948,-77.009948,-77.009948,†,†,†,†,†,†,38.964939,38.964939,38.964939,38.964939,38.964939,38.964939,†,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - ONLINE ACADEMY,DISTRICT OF COLUMBIA,110000800495,366,397,435,523,297,196,191,180,†,†,†,†,†,†,†,†,-77.031617,-77.031617,-77.031617,-77.031617,-77.031617,-77.031617,-77.031617,-77.031617,†,†,†,†,38.960491,38.960491,38.960491,38.960491,38.960491,38.960491,38.960491,38.960491,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - SOUTHEAST ELEMENTARY,District of Columbia,110000800382,357,368,365,387,419,393,411,559,576,551,†,†,†,†,†,†,-76.997001,-76.997001,-76.997001,-76.997001,-76.997001,-76.997001,-76.997001,-76.997001,-76.996971,-76.947098,†,†,38.847540,38.847540,38.847540,38.847540,38.847540,38.847540,38.847540,38.847540,38.847470,38.897391,†,†,–,–,–,–,–,–,–,–,576,441,†,†,†,†,†
FRIENDSHIP PCS - SOUTHEAST MIDDLE,DISTRICT OF COLUMBIA,110000800515,293,326,329,347,338,246,179,†,†,†,†,†,†,†,†,†,-76.997018,-76.997018,-76.997018,-76.997018,-76.997018,-76.997018,-76.997018,†,†,†,†,†,38.847650,38.847650,38.847650,38.847650,38.847650,38.847650,38.847650,†,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,†,†,†,†
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY HS,DISTRICT OF COLUMBIA,110000800496,307,327,357,334,344,278,270,253,†,†,†,†,†,†,†,†,-76.996292,-76.996292,-76.996292,-76.996292,-76.996292,-76.996292,-76.996292,-76.996282,†,†,†,†,38.848300,38.848300,38.848300,38.848300,38.848300,38.848300,38.848300,38.848300,†,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY MS,District of Columbia,110000800422,†,†,†,†,†,65,138,255,499,241,†,†,†,†,†,†,†,†,†,†,†,-76.996292,-76.996292,-76.996283,-76.998251,-76.997288,†,†,†,†,†,†,†,38.848300,38.848300,38.848298,38.848100,38.848047,†,†,†,†,†,†,†,–,–,–,499,173,†,†,†,†,†
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL ELEMENTARY,District of Columbia,110000800482,218,244,250,278,295,304,285,297,284,†,†,†,†,†,†,†,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966051,†,†,†,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929310,†,†,†,–,–,–,–,–,–,–,–,284,†,†,†,†,†,†
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL MIDDLE,District of Columbia,110000800481,223,214,217,213,234,222,227,218,168,†,†,†,†,†,†,†,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966101,-76.966051,†,†,†,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929240,38.929310,†,†,†,–,–,–,–,–,–,–,–,168,†,†,†,†,†,†
FRIENDSHIP PCS BLOW PIERCE,District of Columbia,110000800323,†,†,†,†,†,†,†,†,†,677,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.976802,-76.976620,†,†,†,†,†,†,†,†,†,†,38.897823,38.898160,†,†,†,†,†,†,†,†,†,†,527,†,†,†,†,†
FRIENDSHIP PCS CHAMBERLAIN,District of Columbia,110000800222,†,†,†,†,†,†,†,†,†,756,3430,0,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.986776,-76.987300,-76.987298,†,†,†,†,†,†,†,†,†,38.879799,38.879500,38.879496,†,†,†,†,†,†,†,†,†,539,432,†,†,†,†
FRIENDSHIP PCS WOODRIDGE CAMPUS,District of Columbia,110000800341,†,†,†,†,†,†,†,†,†,523,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.966610,-76.967330,†,†,†,†,†,†,†,†,†,†,38.929881,38.929520,†,†,†,†,†,†,†,†,†,†,278,†,†,†,†,†
GAGE ECKINGTON ES,District of Columbia,110003000166,†,†,†,†,†,†,†,†,†,†,225,364,516,394,378,363,†,†,†,†,†,†,†,†,†,†,-77.015770,-77.015773,†,†,†,†,†,†,†,†,†,†,38.917060,38.917061,†,†,†,†,†,†,†,†,†,†,185,292,–,362,229
GARFIELD ES,District of Columbia,110003000165,252,202,231,245,263,288,291,301,284,249,344,520,552,511,521,476,-76.970808,-76.937621,-76.970770,-76.970770,-76.970770,-76.970770,-76.970770,-76.970770,-76.970770,-76.969921,-76.970560,-76.970559,38.851740,38.879073,38.851565,38.851565,38.851565,38.851565,38.851565,38.851565,38.851565,38.852826,38.852050,38.852049,–,–,–,–,–,–,–,–,284,235,239,332,–,460,96
GARNET PATTERSON MS,District of Columbia,110003000148,†,†,†,†,†,†,†,†,†,†,280,327,352,333,191,339,†,†,†,†,†,†,†,†,†,†,-77.025880,-77.025876,†,†,†,†,†,†,†,†,†,†,38.917020,38.917020,†,†,†,†,†,†,†,†,†,†,235,255,–,193,60
GARNET-PATTERSON STAY HS,District of Columbia,110003000264,432,407,451,400,469,518,426,331,†,†,427,268,†,†,†,†,-77.025753,-77.025753,-77.025753,-77.029177,-77.029177,-77.029177,-77.029177,-77.029177,-77.027437,-77.029700,-77.029590,-77.029588,38.917557,38.917557,38.917557,38.942971,38.942971,38.942971,38.942971,38.942971,38.944028,38.943048,38.942480,38.942480,–,–,–,–,–,–,–,–,0,†,–,–,†,†,†
