ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2018-19,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2014-15,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2010-11,School ID (12-digit) - NCES Assigned [Public School] Latest available year
IDA B. WELLS MS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,†,†,†,†,110003000524
IDEA PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110001300227
IDEAL ACADEMY PCS,District of Columbia,†,†,†,†,†,†,–,–,3,0,110001200401
IDEAL ACADEMY PCS  PEABODY STREET CAMPUS HS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110001200226
IMAGINE SOUTHEAST PC,District of Columbia,†,†,†,†,†,†,†,†,†,0,110007400409
INGENUITY PREP PCS,District of Columbia,1,1,1,1,1,1,–,1,0,†,110009000460
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,0,0,0,–,–,0,–,–,2,†,110008000437
INSPIRING YOUTH PROGRAM,District of Columbia,†,†,†,†,†,†,†,†,0,0,110003000385
J.O. WILSON ES,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000062
JACKIE ROBINSON CENTER,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000205
JACKSON-REED HS,District of Columbia,4,3,3,4,1,10,10,9,5,3,110003000133
JANNEY ES,District of Columbia,1,0,0,–,2,1,1,–,0,0,110003000179
JEFFERSON MS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000145
JEFFERSON MS ACADEMY,District of Columbia,0,0,0,–,–,0,–,–,0,†,110003000453
JOHN FRANCIS EDUCATION CAMPUS,District of Columbia,0,0,2,2,1,1,–,–,0,3,110003000149
JOHN LEWIS ES,District of Columbia,0,0,0,–,–,0,–,–,1,1,110003000067
JOHNSON MS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000144
KELLY MILLER MS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000272
KENILWORTH ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000177
KETCHAM ES,District of Columbia,0,0,0,–,–,0,–,1,1,0,110003000176
KEY ES,District of Columbia,2,1,0,–,–,0,–,–,0,1,110003000174
